agA_name	agB_name	agA_ns	agA_id	agB_ns	agB_id	residue	position	stmt_type	evidence_count	stmt_hash	belief	source_counts	initial_sign
ABCD1	SLC12A2	HGNC	61	HGNC	10911			IncreaseAmount	1	696322353014497	1.0	{'reach': 1}	
ABCD1	SLC12A2	HGNC	61	HGNC	10911			Activation	1	-13344884870826256	1.0	{'reach': 1}	
ABCE1	RNASEL	HGNC	69	HGNC	10050			Inhibition	1	-27307237975252497	1.0	{'reach': 1}	
ABCG1	APOA1	HGNC	73	HGNC	600			Activation	1	20904984786718481	1.0	{'reach': 1}	
ABCG1	APP	HGNC	73	HGNC	620			Inhibition	1	-33377533630108103	1.0	{'reach': 1}	
ABCG1	APP	HGNC	73	HGNC	620			Activation	1	4904391197083269	1.0	{'reach': 1}	
ABCG2	ABCB1	HGNC	74	HGNC	40			Inhibition	1	24177431829868423	1.0	{'reach': 1}	
ABCG2	ABCB1	HGNC	74	HGNC	40			Activation	1	21754561756616421	1.0	{'reach': 1}	
ABCG2	CDH1	HGNC	74	HGNC	1748			IncreaseAmount	1	-17108974841657806	1.0	{'reach': 1}	
ABCG2	DNAJC5	HGNC	74	HGNC	16235			Activation	1	29388879314644646	1.0	{'reach': 1}	
ABCG2	MTX1	HGNC	74	HGNC	7504			Activation	1	-27100854519543983	1.0	{'reach': 1}	
ABCG2	MTX1	HGNC	74	HGNC	7504			Inhibition	1	-19698519633525876	1.0	{'reach': 1}	
ABCG4	APP	HGNC	13884	HGNC	620			Inhibition	1	-27840634192491033	1.0	{'reach': 1}	
ABHD5	PNPLA2	HGNC	21396	HGNC	30802			Activation	1	29364171529330847	1.0	{'sparser': 1}	
ABI1	ABL1	HGNC	11320	HGNC	76			Inhibition	0	12501207836435511	1.0	{}	
ABI1	EPS8	HGNC	11320	HGNC	3420			Activation	1	-15765145650877468	1.0	{'reach': 1}	
ABL1	ABI1	HGNC	76	HGNC	11320			Phosphorylation	1	-21723082386496029	1.0	{'reach': 1}	
ABL1	ABI1	HGNC	76	HGNC	11320			Inhibition	1	18699119112322168	1.0	{'reach': 1}	
ABL1	ANXA6	HGNC	76	HGNC	544			Phosphorylation	1	-26690154940707317	1.0	{'sparser': 1}	
ABL1	ARHGDIB	HGNC	76	HGNC	679	Y	130	Phosphorylation	1	21265643182973363	1.0	{'reach': 1}	
ABL1	ARHGDIB	HGNC	76	HGNC	679			Phosphorylation	1	-25400069909039382	1.0	{'sparser': 1}	
ABL1	BCAR1	HGNC	76	HGNC	971			Phosphorylation	0	35492552341195618	1.0	{}	
ABL1	BCR	HGNC	76	HGNC	1014			Activation	1	34738962082202792	1.0	{'reach': 1}	
ABL1	BTK	HGNC	76	HGNC	1133	Y	223	Phosphorylation	1	29226724782122464	1.0	{'signor': 1}	
ABL1	CASP9	HGNC	76	HGNC	1511	Y	153	Phosphorylation	1	17002050828869457	1.0	{'reach': 1}	
ABL1	CAT	HGNC	76	HGNC	1516	Y	231	Phosphorylation	1	5444686307773052	1.0	{'signor': 1}	
ABL1	CAT	HGNC	76	HGNC	1516	Y	386	Phosphorylation	1	-19315204345022491	1.0	{'signor': 1}	
ABL1	CAT	HGNC	76	HGNC	1516			Activation	0	24464456035896357	1.0	{}	
ABL1	CAV1	HGNC	76	HGNC	1527			Phosphorylation	1	-25016695078874211	1.0	{'rlimsp': 1}	
ABL1	CAV1	HGNC	76	HGNC	1527	Y	14	Phosphorylation	1	-28929866185048047	1.0	{'reach': 1}	
ABL1	CBL	HGNC	76	HGNC	1541			Phosphorylation	1	26227492717626791	1.0	{'reach': 1}	
ABL1	CDK5	HGNC	76	HGNC	1774			Phosphorylation	1	-3269175557296614	1.0	{'sparser': 1}	
ABL1	CDK5	HGNC	76	HGNC	1774			Activation	1	7834312169272508	1.0	{'sparser': 1}	
ABL1	CDK5	HGNC	76	HGNC	1774	Y	15	Phosphorylation	1	29324592035779635	1.0	{'sparser': 1}	
ABL1	CDKN1A	HGNC	76	HGNC	1784			IncreaseAmount	1	4150958998942637	1.0	{'trrust': 1}	
ABL1	CDKN1B	HGNC	76	HGNC	1785			Phosphorylation	1	-16830536169852064	1.0	{'reach': 1}	
ABL1	CRK	HGNC	76	HGNC	2362			DecreaseAmount	0	-8355579842489968	1.0	{}	
ABL1	CRK	HGNC	76	HGNC	2362	Y	221	Phosphorylation	1	-34187033106259946	1.0	{'sparser': 1}	
ABL1	CRK	HGNC	76	HGNC	2362			Phosphorylation	1	-1811303087292483	1.0	{'sparser': 1}	
ABL1	CRKL	HGNC	76	HGNC	2363	Y	207	Phosphorylation	1	9389495782108072	1.0	{'rlimsp': 1}	
ABL1	CRKL	HGNC	76	HGNC	2363			Phosphorylation	1	12000427879706802	1.0	{'sparser': 1}	
ABL1	CSF1	HGNC	76	HGNC	2432			IncreaseAmount	1	-22351424421744907	1.0	{'trrust': 1}	
ABL1	CTTN	HGNC	76	HGNC	3338			Phosphorylation	1	-13048690562802939	1.0	{'reach': 1}	
ABL1	DLG4	HGNC	76	HGNC	2903	Y		Phosphorylation	1	13678359794439922	1.0	{'reach': 1}	
ABL1	DOK1	HGNC	76	HGNC	2990	Y	362	Phosphorylation	1	19156449489007809	1.0	{'rlimsp': 1}	
ABL1	DOK1	HGNC	76	HGNC	2990			Phosphorylation	0	-9429914678735550	1.0	{}	
ABL1	EGFR	HGNC	76	HGNC	3236			Activation	1	18667209857086755	1.0	{'reach': 1}	
ABL1	ERCC6	HGNC	76	HGNC	3438			Phosphorylation	1	14528107182947433	1.0	{'sparser': 1}	
ABL1	FAM126A	HGNC	76	HGNC	24587			Activation	1	5271377663153672	1.0	{'reach': 1}	
ABL1	GMNN	HGNC	76	HGNC	17493	Y	150	Phosphorylation	1	6785840732036495	1.0	{'rlimsp': 1}	
ABL1	HDAC2	HGNC	76	HGNC	4853			IncreaseAmount	1	34166832112996827	1.0	{'reach': 1}	
ABL1	INS	HGNC	76	HGNC	6081			Inhibition	1	34439161643991202	1.0	{'reach': 1}	
ABL1	JAK2	HGNC	76	HGNC	6192	Y	1007	Phosphorylation	0	-15455497564434171	1.0	{}	
ABL1	JUN	HGNC	76	HGNC	6204			Phosphorylation	0	-23888616098626859	1.0	{}	
ABL1	JUN	HGNC	76	HGNC	6204	Y	170	Phosphorylation	0	-33587766674180682	1.0	{}	
ABL1	JUNB	HGNC	76	HGNC	6205			Phosphorylation	0	-8396685840474766	1.0	{}	
ABL1	KAT5	HGNC	76	HGNC	5275			Phosphorylation	1	22297671557063582	1.0	{'sparser': 1}	
ABL1	KHDRBS1	HGNC	76	HGNC	18116			Phosphorylation	1	-18947038458223198	1.0	{'sparser': 1}	
ABL1	LGALS3	HGNC	76	HGNC	6563	Y	107	Phosphorylation	0	-14084181923640570	1.0	{}	
ABL1	MAPK8IP1	HGNC	76	HGNC	6882			Phosphorylation	1	175086185842485	1.0	{'rlimsp': 1}	
ABL1	MAPT	HGNC	76	HGNC	6893	Y	711	Phosphorylation	1	29460334803043185	1.0	{'reach': 1}	
ABL1	MAPT	HGNC	76	HGNC	6893			Phosphorylation	1	35572176054579015	1.0	{'sparser': 1}	
ABL1	MDM2	HGNC	76	HGNC	6973	Y	276	Phosphorylation	1	-8618400410398966	1.0	{'signor': 1}	
ABL1	MDM2	HGNC	76	HGNC	6973	Y	394	Phosphorylation	1	29957127961578550	1.0	{'signor': 1}	
ABL1	MDM2	HGNC	76	HGNC	6973			Phosphorylation	1	8567424107498866	1.0	{'sparser': 1}	
ABL1	MDM4	HGNC	76	HGNC	6974			Phosphorylation	1	-21286850102103737	1.0	{'sparser': 1}	
ABL1	MRTFA	HGNC	76	HGNC	14334			Activation	1	-26524886121946735	1.0	{'sparser': 1}	
ABL1	MYC	HGNC	76	HGNC	7553			Phosphorylation	1	27670766212275107	1.0	{'reach': 1}	
ABL1	MYC	HGNC	76	HGNC	7553			IncreaseAmount	1	-11123148418597107	1.0	{'reach': 1}	
ABL1	MYLK	HGNC	76	HGNC	7590			Phosphorylation	0	-19967487253098795	1.0	{}	
ABL1	NEDD4L	HGNC	76	HGNC	7728			Phosphorylation	1	-1391807877659855	1.0	{'reach': 1}	
ABL1	NEDD9	HGNC	76	HGNC	7733	Y		Phosphorylation	1	-19819334230905873	1.0	{'reach': 1}	
ABL1	NOTCH1	HGNC	76	HGNC	7881			IncreaseAmount	1	-14763178712349219	1.0	{'reach': 1}	
ABL1	NUMA1	HGNC	76	HGNC	8059	Y	1774	Phosphorylation	1	-20547100830540146	1.0	{'rlimsp': 1}	
ABL1	OGG1	HGNC	76	HGNC	8125			Phosphorylation	0	7244386192636294	1.0	{}	
ABL1	PAK2	HGNC	76	HGNC	8591			Phosphorylation	1	-12903278614915690	1.0	{'rlimsp': 1}	
ABL1	PDGFRB	HGNC	76	HGNC	8804			Phosphorylation	0	35689106025426195	1.0	{}	
ABL1	PRKCD	HGNC	76	HGNC	9399			Activation	0	7452366773408768	1.0	{}	
ABL1	PRKCD	HGNC	76	HGNC	9399			Phosphorylation	0	2663003202867328	1.0	{}	
ABL1	PRKD1	HGNC	76	HGNC	9407	Y	463	Phosphorylation	1	-13241952575060071	1.0	{'sparser': 1}	
ABL1	PRKDC	HGNC	76	HGNC	9413			Phosphorylation	0	-10969004175959258	1.0	{}	
ABL1	PRKN	HGNC	76	HGNC	8607	Y		Phosphorylation	1	8017382744274809	1.0	{'reach': 1}	
ABL1	PRKN	HGNC	76	HGNC	8607			Phosphorylation	1	-1528408687964946	1.0	{'reach': 1}	
ABL1	PRKN	HGNC	76	HGNC	8607	Y	143	Phosphorylation	1	16633943078541184	1.0	{'sparser': 1}	
ABL1	PRKN	HGNC	76	HGNC	8607			Inhibition	1	35846097313136689	1.0	{'sparser': 1}	
ABL1	PTPN11	HGNC	76	HGNC	9644			Phosphorylation	1	30294300908834909	1.0	{'reach': 1}	
ABL1	PTPN11	HGNC	76	HGNC	9644	Y	580	Phosphorylation	1	-28461946489098846	1.0	{'reach': 1}	
ABL1	PTPN6	HGNC	76	HGNC	9658	Y	564	Phosphorylation	1	13425554236650611	1.0	{'signor': 1}	
ABL1	PXN	HGNC	76	HGNC	9718			Phosphorylation	0	34508743131241790	1.0	{}	
ABL1	RACK1	HGNC	76	HGNC	4399	Y	52	Phosphorylation	1	33721458261297075	1.0	{'trips': 1}	
ABL1	RAD51	HGNC	76	HGNC	9817			Activation	1	-12463031662997941	1.0	{'reach': 1}	
ABL1	RAD51	HGNC	76	HGNC	9817	Y	54	Phosphorylation	1	3607498906283242	1.0	{'sparser': 1}	
ABL1	RAD51	HGNC	76	HGNC	9817	Y	315	Phosphorylation	1	-11526000661430750	1.0	{'sparser': 1}	
ABL1	RAD51	HGNC	76	HGNC	9817			Phosphorylation	1	-20441704756031271	1.0	{'sparser': 1}	
ABL1	RAD52	HGNC	76	HGNC	9824	Y	104	Phosphorylation	1	-26470350599250803	1.0	{'sparser': 1}	
ABL1	RAPH1	HGNC	76	HGNC	14436			Phosphorylation	1	-998804673518311	1.0	{'sparser': 1}	
ABL1	RHOA	HGNC	76	HGNC	667			Inhibition	1	-26178592456584112	1.0	{'reach': 1}	
ABL1	S100A8	HGNC	76	HGNC	10498			Phosphorylation	1	18841016193729459	1.0	{'sparser': 1}	
ABL1	SNCA	HGNC	76	HGNC	11138	Y	39	Phosphorylation	1	-26362861766268653	1.0	{'rlimsp': 1}	
ABL1	SORBS1	HGNC	76	HGNC	14926			Phosphorylation	1	-3669627024276028	1.0	{'rlimsp': 1}	
ABL1	SORBS2	HGNC	76	HGNC	24098			Phosphorylation	1	26647373086570029	1.0	{'reach': 1}	
ABL1	SRC	HGNC	76	HGNC	11283			Activation	1	13528298969005506	1.0	{'reach': 1}	
ABL1	STAT3	HGNC	76	HGNC	11364			Activation	1	24921991238727693	1.0	{'reach': 1}	
ABL1	STAT3	HGNC	76	HGNC	11364			Phosphorylation	1	-23526486720465127	1.0	{'sparser': 1}	
ABL1	STK3	HGNC	76	HGNC	11406	Y	81	Phosphorylation	1	-12424748779941568	1.0	{'reach': 1}	
ABL1	STK3	HGNC	76	HGNC	11406			Phosphorylation	1	-14470757385524224	1.0	{'sparser': 1}	
ABL1	STK4	HGNC	76	HGNC	11408			Activation	0	18952390994399782	1.0	{}	
ABL1	STK4	HGNC	76	HGNC	11408	Y	433	Phosphorylation	1	4084547492017211	1.0	{'reach': 1}	
ABL1	STK4	HGNC	76	HGNC	11408			Phosphorylation	1	-22630923480433747	1.0	{'reach': 1}	
ABL1	TERT	HGNC	76	HGNC	11730			Phosphorylation	1	-7750304401378705	1.0	{'reach': 1}	
ABL1	TP53	HGNC	76	HGNC	11998			Inhibition	0	-32486700652836159	1.0	{}	
ABL1	TP53	HGNC	76	HGNC	11998			Activation	1	12636029913092242	1.0	{'reach': 1}	
ABL1	TP73	HGNC	76	HGNC	12003	Y		Phosphorylation	1	19758508681676005	1.0	{'trips': 1}	
ABL1	TP73	HGNC	76	HGNC	12003			Activation	1	35149749325834653	1.0	{'sparser': 1}	
ABL1	TP73	HGNC	76	HGNC	12003	Y	99	Phosphorylation	1	-2263518223157147	1.0	{'sparser': 1}	
ABL1	TP73	HGNC	76	HGNC	12003			Phosphorylation	1	19233864146763804	1.0	{'reach': 1}	
ABL1	VCL	HGNC	76	HGNC	12665	Y	822	Phosphorylation	0	27670609641414453	1.0	{}	
ABL1	WASF2	HGNC	76	HGNC	12733			Activation	1	-27530747610349330	1.0	{'reach': 1}	
ABL1	WASF2	HGNC	76	HGNC	12733			Phosphorylation	1	31915358177074041	1.0	{'sparser': 1}	
ABL1	WASF2	HGNC	76	HGNC	12733	Y	150	Phosphorylation	1	-16473567576462868	1.0	{'sparser': 1}	
ABL1	WASL	HGNC	76	HGNC	12735			Activation	0	26119102538185739	1.0	{}	
ABL1	WASL	HGNC	76	HGNC	12735	Y	256	Phosphorylation	0	-34291008100435161	1.0	{}	
ABL1	WASL	HGNC	76	HGNC	12735			Phosphorylation	0	-6672517256088747	1.0	{}	
ABL1	WRN	HGNC	76	HGNC	12791			Phosphorylation	1	16133993958765033	1.0	{'sparser': 1}	
ABL1	YAP1	HGNC	76	HGNC	16262	Y	407	Phosphorylation	1	30982191513287103	1.0	{'sparser': 1}	
ABL1	YAP1	HGNC	76	HGNC	16262			Phosphorylation	1	-30066926279216784	1.0	{'sparser': 1}	
ABL2	CRK	HGNC	77	HGNC	2362	Y	221	Phosphorylation	1	-32439454651980904	1.0	{'signor': 1}	
ABO	ANXA7	HGNC	79	HGNC	545			Activation	1	18025741576212467	1.0	{'reach': 1}	
ABR	CDC42	HGNC	81	HGNC	1736			Inhibition	1	1486075528770566	1.0	{'reach': 1}	
ABR	RHOA	HGNC	81	HGNC	667			Activation	1	-20452117963962751	1.0	{'reach': 1}	
ABRA	RHOA	HGNC	30655	HGNC	667			Activation	1	-6857179384142865	1.0	{'reach': 1}	
ABRA	SRF	HGNC	30655	HGNC	11291			Activation	1	29649662010608670	1.0	{'reach': 1}	
ABRAXAS2	BRCC3	HGNC	28975	HGNC	24185			Activation	0	-30126975811931311	1.0	{}	
ABRAXAS2	TP53	HGNC	28975	HGNC	11998			Activation	0	-7730573742329419	1.0	{}	
ABRAXAS2	TP53	HGNC	28975	HGNC	11998			Inhibition	1	14810491570000225	1.0	{'reach': 1}	
ACACA	FAS	HGNC	84	HGNC	11920			Activation	1	-10315045418189827	1.0	{'reach': 1}	
ACACA	INS	HGNC	84	HGNC	6081			Activation	1	17236773518285158	1.0	{'reach': 1}	
ACAP2	ARF6	HGNC	16469	HGNC	659			Inhibition	0	-11380790857928017	1.0	{}	
ACAT1	ADIPOQ	HGNC	93	HGNC	13633			Activation	1	-27163833458005176	1.0	{'reach': 1}	
ACBD3	SREBF1	HGNC	15453	HGNC	11289			Inhibition	1	-15846885399197678	1.0	{'reach': 1}	
ACE	ACE2	HGNC	2707	HGNC	13557			IncreaseAmount	1	-31065934184788745	1.0	{'reach': 1}	
ACE	ACE2	HGNC	2707	HGNC	13557			Activation	1	31633718500884278	1.0	{'eidos': 1}	
ACE	ACE2	HGNC	2707	HGNC	13557			DecreaseAmount	1	-23495471817985181	1.0	{'reach': 1}	
ACE	ACE2	HGNC	2707	HGNC	13557			Inhibition	1	-20977758646329566	1.0	{'eidos': 1}	
ACE	ACOD1	HGNC	2707	HGNC	33904			Activation	1	14132971166786021	1.0	{'reach': 1}	
ACE	AGT	HGNC	2707	HGNC	333			Inhibition	1	32091580680234873	1.0	{'reach': 1}	
ACE	AGT	HGNC	2707	HGNC	333			Activation	1	-21677581136324403	1.0	{'sparser': 1}	
ACE	AGT	HGNC	2707	HGNC	333			DecreaseAmount	1	32137882835223393	1.0	{'reach': 1}	
ACE	APP	HGNC	2707	HGNC	620			Inhibition	1	-33959966497275415	1.0	{'reach': 1}	
ACE	APP	HGNC	2707	HGNC	620			Activation	1	-14383157556161853	1.0	{'sparser': 1}	
ACE	CAT	HGNC	2707	HGNC	1516			Inhibition	1	-714650149449573	1.0	{'reach': 1}	
ACE	CXCL10	HGNC	2707	HGNC	10637			DecreaseAmount	1	-6837045172502528	1.0	{'reach': 1}	
ACE	DCP2	HGNC	2707	HGNC	24452			Activation	1	-30885998239813196	1.0	{'reach': 1}	
ACE	EDN1	HGNC	2707	HGNC	3176			Activation	1	1312885435194634	1.0	{'reach': 1}	
ACE	IDO1	HGNC	2707	HGNC	6059			Inhibition	1	-17602063080730415	1.0	{'reach': 1}	
ACE	IL6	HGNC	2707	HGNC	6018			Inhibition	1	25630237384009876	1.0	{'reach': 1}	
ACE	IL6	HGNC	2707	HGNC	6018			Activation	1	22627205996634063	1.0	{'reach': 1}	
ACE	INS	HGNC	2707	HGNC	6081			Activation	1	-10933610879291123	1.0	{'reach': 1}	
ACE	INS	HGNC	2707	HGNC	6081			Inhibition	1	5312393649284837	1.0	{'reach': 1}	
ACE	KNG1	HGNC	2707	HGNC	6383			IncreaseAmount	1	-3785531977401959	1.0	{'reach': 1}	
ACE	KNG1	HGNC	2707	HGNC	6383			DecreaseAmount	1	-18724785196047080	1.0	{'reach': 1}	
ACE	KNG1	HGNC	2707	HGNC	6383			Activation	1	4039891536164819	1.0	{'reach': 1}	
ACE	KNG1	HGNC	2707	HGNC	6383			Inhibition	1	-35834240214990816	1.0	{'sparser': 1}	
ACE	MME	HGNC	2707	HGNC	7154			Inhibition	1	-15424557305781244	1.0	{'reach': 1}	
ACE	MMP2	HGNC	2707	HGNC	7166			Activation	1	-13938460543058002	1.0	{'reach': 1}	
ACE	NPPA	HGNC	2707	HGNC	7939			Activation	1	-23248866295378207	1.0	{'reach': 1}	
ACE	PLAT	HGNC	2707	HGNC	9051			Inhibition	1	2176567898518128	1.0	{'reach': 1}	
ACE	PRKCE	HGNC	2707	HGNC	9401			Activation	1	-10398601656244686	1.0	{'reach': 1}	
ACE	REN	HGNC	2707	HGNC	9958			DecreaseAmount	1	-30420178191086637	1.0	{'reach': 1}	
ACE	REN	HGNC	2707	HGNC	9958			Inhibition	1	21854279021612107	1.0	{'reach': 1}	
ACE	REN	HGNC	2707	HGNC	9958			Activation	1	-16168713483072718	1.0	{'eidos': 1}	
ACE	REN	HGNC	2707	HGNC	9958			IncreaseAmount	1	11637515158517980	1.0	{'reach': 1}	
ACE	SERPINE1	HGNC	2707	HGNC	8583			Activation	1	-9974295291963324	1.0	{'eidos': 1}	
ACE	SERPINE1	HGNC	2707	HGNC	8583			IncreaseAmount	1	-33988095197542549	1.0	{'reach': 1}	
ACE	SLC33A1	HGNC	2707	HGNC	95			Activation	1	-9139038604959528	1.0	{'reach': 1}	
ACE	TAC1	HGNC	2707	HGNC	11517			Activation	1	32487453547860	1.0	{'reach': 1}	
ACE	TAC1	HGNC	2707	HGNC	11517			Inhibition	1	30822754208352023	1.0	{'sparser': 1}	
ACE	TNF	HGNC	2707	HGNC	11892			DecreaseAmount	1	12960698604336826	1.0	{'reach': 1}	
ACE	TNF	HGNC	2707	HGNC	11892			Activation	1	-35985416422054180	1.0	{'sparser': 1}	
ACE	TNF	HGNC	2707	HGNC	11892			Inhibition	1	-24950489368853088	1.0	{'eidos': 1}	
ACE2	ACE	HGNC	13557	HGNC	2707			Activation	1	-21480876933831995	1.0	{'reach': 1}	
ACE2	ACE	HGNC	13557	HGNC	2707			Inhibition	1	13393666526759034	1.0	{'reach': 1}	
ACE2	ADAM17	HGNC	13557	HGNC	195			Activation	1	-23887656636137081	1.0	{'reach': 1}	
ACE2	AGT	HGNC	13557	HGNC	333			IncreaseAmount	1	-3600281945487123	1.0	{'reach': 1}	
ACE2	AGT	HGNC	13557	HGNC	333			DecreaseAmount	1	-15689961027435059	1.0	{'reach': 1}	
ACE2	AGT	HGNC	13557	HGNC	333			Inhibition	1	8098819049841743	1.0	{'eidos': 1}	
ACE2	AGT	HGNC	13557	HGNC	333			Activation	1	-23544121750171620	1.0	{'reach': 1}	
ACE2	ANG	HGNC	13557	HGNC	483			Activation	1	-11062815736591019	1.0	{'reach': 1}	
ACE2	APLN	HGNC	13557	HGNC	16665			Activation	1	-7741303453909376	1.0	{'reach': 1}	
ACE2	APLN	HGNC	13557	HGNC	16665			Inhibition	1	-28755413292845508	1.0	{'sparser': 1}	
ACE2	CCNB1	HGNC	13557	HGNC	1579			Inhibition	1	18909972782431707	1.0	{'reach': 1}	
ACE2	IL6	HGNC	13557	HGNC	6018			Inhibition	1	2816500834409003	1.0	{'reach': 1}	
ACE2	INS	HGNC	13557	HGNC	6081			Inhibition	1	-8211243983407473	1.0	{'reach': 1}	
ACE2	INS	HGNC	13557	HGNC	6081			Activation	1	-33003063665072985	1.0	{'reach': 1}	
ACE2	KNG1	HGNC	13557	HGNC	6383			Inhibition	1	14978051269550040	1.0	{'reach': 1}	
ACE2	KNG1	HGNC	13557	HGNC	6383			Activation	1	-14725033919737560	1.0	{'reach': 1}	
